"symbol","owner","relationship","date","cost","# shares","value($)","total shares","filing","type","currentprice","movingaverage"
"DSNY","Graber Mark A","10% Owner","""Apr 20",,"0","13000","7800","1162777","""Apr 24"," 2020"," 05:54 PM"""
"RVP","SHAW THOMAS J","President and CEO","""Apr 24",,"3","800","2480","14553806","""Apr 24"," 2020"," 05:46 PM"""
"RVP","SHAW THOMAS J","President and CEO","""Apr 23",,"3","300","903","14553006","""Apr 24"," 2020"," 05:46 PM"""
"ICMB","Investcorp BDC Holdings Ltd","10% Owner","""Apr 23",,"4","3080","14732","469920","""Apr 24"," 2020"," 05:39 PM"""
"ICMB","Investcorp BDC Holdings Ltd","10% Owner","""Apr 22",,"4","2917","13229","466840","""Apr 24"," 2020"," 05:39 PM"""
"ICMB","Investcorp BDC Holdings Ltd","10% Owner","""Apr 24",,"4","2600","12571","472520","""Apr 24"," 2020"," 05:39 PM"""
"AUMN","Rehn Warren","President and CEO","""Apr 24",,"0","10000","2210","486000","""Apr 24"," 2020"," 05:26 PM"""
"RGT","ROYCE CHARLES M","Portfolio Manager","""Apr 23",,"9","10000","93200","233705","""Apr 24"," 2020"," 05:14 PM"""
"RGT","ROYCE CHARLES M","Portfolio Manager","""Apr 24",,"9","15000","140850","248705","""Apr 24"," 2020"," 05:14 PM"""
"TRST","SCHRECK ERIC W","SVP & TREASURER","""Apr 24",,"5","4455","24993","99239","""Apr 24"," 2020"," 05:12 PM"""
"RUBY","Coughlin Christina M.","Chief Medical Officer","""Apr 22",,"5","19000","104813","19000","""Apr 24"," 2020"," 04:13 PM"""
"HQI","Hermanns Richard","President and CEO","""Apr 23",,"6","3700","23427","5861190","""Apr 24"," 2020"," 04:08 PM"""
"AXDX","SCHULER JACK W","Director","""Apr 22",,"9","157688","1493305","14598623","""Apr 24"," 2020"," 03:39 PM"""
"SPWR","TOTAL S.A.","Director","""Apr 23",,"6","2544","17170","87951556","""Apr 24"," 2020"," 02:22 PM"""
"SPWR","TOTAL S.A.","Director","""Apr 22",,"6","15717","99064","87949012","""Apr 24"," 2020"," 02:22 PM"""
"TGEN","HATSOPOULOS JOHN","Director","""Apr 23",,"1","25000","25093","2334873","""Apr 24"," 2020"," 01:08 PM"""
"GIFI","RICHARD C D","Director","""Apr 22",,"2","500","1496","4625","""Apr 24"," 2020"," 12:15 PM"""
"PAAC","Chou Shih-Chung","Director","""Apr 20",,"0","600000","120000","1031250","""Apr 23"," 2020"," 08:59 PM"""
"NJMC","Swallow John","President and CEO","""Apr 22",,"0","370370","48148","16847373","""Apr 23"," 2020"," 07:54 PM"""
"AMRB","ROBOTHAM WILLIAM A","Director","""Apr 23",,"9","2500","23750","113714","""Apr 23"," 2020"," 06:59 PM"""
"XELB","D LOREN ROBERT W","CEO & Chairman","""Apr 22",,"0","2805","1543","1384758","""Apr 23"," 2020"," 06:34 PM"""
"XELB","D LOREN ROBERT W","CEO & Chairman","""Apr 21",,"0","6453","3356","1381953","""Apr 23"," 2020"," 06:34 PM"""
"TREC","Quarles Patrick D.","President and CEO","""Apr 23",,"5","5092","27548","213159","""Apr 23"," 2020"," 04:23 PM"""
"LQDT","Angrick William P III","Chairman of the Board and CEO","""Apr 21",,"4","700","3318","4552571","""Apr 23"," 2020"," 04:18 PM"""
"MCHX","Roswech John","Chief Revenue Officer","""Apr 22",,"1","2500","3396","290000","""Apr 23"," 2020"," 04:08 PM"""
"VOXX","Kahli Beat","10% Owner","""Apr 22",,"4","46660","228551","2911963","""Apr 23"," 2020"," 04:00 PM"""
"VOXX","Kahli Beat","10% Owner","""Apr 21",,"4","98340","461615","2865303","""Apr 23"," 2020"," 04:00 PM"""
"MMLP","MARTIN RUBEN S","President and CEO","""Apr 21",,"1","7684","8927","442587","""Apr 23"," 2020"," 03:59 PM"""
"MMLP","Shoup Scot A","Senior VP Operations","""Apr 21",,"1","3111","3614","15037","""Apr 23"," 2020"," 03:59 PM"""
"MMLP","BONDURANT ROBERT D","Executive VP and CFO","""Apr 21",,"1","5018","5830","99864","""Apr 23"," 2020"," 03:59 PM"""
"AXDX","SCHULER JACK W","Director","""Apr 21",,"9","79650","717647","14440935","""Apr 23"," 2020"," 03:36 PM"""
"OBLG","ADELMAN JASON T","Director","""Apr 22",,"0","20000","18080","496000","""Apr 23"," 2020"," 03:08 PM"""
"HAL","GERBER MURRY","Director","""Apr 23",,"8","350000","3038000","574879","""Apr 23"," 2020"," 02:26 PM"""
"OTIVF","Anderson William Carl III","Director","""Apr 22",,"0","960000","192000","2060000","""Apr 23"," 2020"," 02:06 PM"""
"RGT","CLARK CHRISTOPHER D","President","""Apr 23",,"9","5000","46250","44743","""Apr 23"," 2020"," 01:31 PM"""
"VOLT","Naujokas Leonard Frank","Controller & CAO","""Apr 23",,"0","5952","5000","10151","""Apr 23"," 2020"," 01:29 PM"""
"RVP","SHAW THOMAS J","President and CEO","""Apr 22",,"3","400","1204","14552706","""Apr 23"," 2020"," 12:48 PM"""
"VOLT","Avedissian Nancy T","SVP/Chief Legal Ofcer/CorpSec","""Apr 23",,"0","5000","4000","41715","""Apr 23"," 2020"," 12:32 PM"""
"TIPT","Barnes Michael Gene","Executive Chairman","""Apr 22",,"5","2771","14548","8260238","""Apr 23"," 2020"," 09:48 AM"""
"TIPT","Barnes Michael Gene","Executive Chairman","""Apr 21",,"5","2771","13955","8257467","""Apr 23"," 2020"," 09:48 AM"""
"SPLP","LICHTENSTEIN WARREN G","Executive Chairman","""Apr 21",,"4","400","1920","189227","""Apr 23"," 2020"," 06:00 AM"""
